tmid,SCIENTIFIC_NAME,TPA
746,Pinus taeda,315.1665360000002
1,Pinus taeda,1317.577287999997
6,Ilex opaca,161.966656
69,Pinus palustris,42.126321999999995
87,Quercus nigra,548.829158
126,Liquidambar styraciflua,311.89722
148,Quercus nigra,380.84445600000004
227,Carpinus caroliniana,42.126321999999995
251,Pinus taeda,693.7828480000007
336,Oxydendrum arboreum,299.861128
368,Liquidambar styraciflua,386.86250200000006
415,Liquidambar styraciflua,261.004122
391,Quercus nigra,392.880548
453,Magnolia acuminata,449.791692
437,Carpinus caroliniana,153.19988
460,Pinus taeda,429.50941000000046
579,Nyssa sylvatica,422.970778
705,Pinus taeda,174.52333399999998
718,Acer rubrum,374.82641
697,Quercus phellos,299.861128
879,Quercus stellata,905.60143
908,Pinus taeda,604.0327440000011
905,Pinus taeda,876.5523720000002
891,Pinus palustris,803.8152340000001
955,Liquidambar styraciflua,305.87917400000003
986,Acer saccharinum,374.82641
1048,Liquidambar styraciflua,341.98744999999997
1129,Pinus taeda,216.64965599999996
1117,Quercus muehlenbergii,180.020794
1183,Quercus alba,530.77502
1450,Fraxinus americana,236.931938
1460,Quercus laevis,530.77502
1539,Magnolia grandiflora,380.84445600000004
1619,Liquidambar styraciflua,386.862502
1647,Pinus taeda,317.915266
1701,Acer rubrum,609.0096180000003
1826,Acer rubrum,899.583384
1857,Fraxinus pennsylvanica,392.880548
1973,Acer rubrum,149.930564
1952,Liquidambar styraciflua,380.84445600000004
2014,Carya glabra,311.89722
2017,Liquidambar styraciflua,323.933312
2042,Pinus taeda,189.30815599999997
2052,Pinus taeda,345.777352
2115,Cornus florida,149.930564
2135,Quercus alba,147.18183399999998
1443,Acer rubrum,174.002748
19,Quercus laurifolia,299.861128
1779,Liquidambar styraciflua,87.001374
1787,Pinus taeda,543.8522840000009
1004,Juniperus virginiana,74.965282
881,Liquidambar styraciflua,380.84445600000004
1923,Carya glabra,149.930564
342,Nyssa sylvatica,461.827784
549,Quercus alba,141.16378799999998
551,Pinus taeda,3829.247428000004
1716,Pinus taeda,599.722256
1344,Carpinus caroliniana,24.072184
1342,Carya glabra,311.89722
207,Liquidambar styraciflua,386.862502
199,Diospyros virginiana,749.65282
218,Acer rubrum,12.036092
609,Ostrya virginiana,149.930564
591,Ostrya virginiana,299.861128
1268,Liquidambar styraciflua,192.056886
1267,Liquidambar styraciflua,236.931938
1742,Pinus taeda,465.61768600000056
1104,Pinus taeda,123.10964999999999
1751,Pinus taeda,93.01942
1470,Pinus palustris,159.21792599999998
1390,Liquidambar styraciflua,248.96803
985,Liriodendron tulipifera,1173.144184000001
1416,Pinus taeda,1644.2593300000003
1423,Pinus taeda,162.48724199999998
1417,Pinus taeda,291.6149380000001
31,Liquidambar styraciflua,348.0054960000002
1243,Juniperus virginiana,224.895846
1255,Quercus phellos,299.861128
1246,Quercus prinus,90.27068999999999
1241,Nyssa sylvatica,149.93056
2127,Pinus taeda,492.9591820000007
2140,Acer rubrum,230.91388600000002
2124,Acer rubrum,449.79168000000004
2021,Quercus laurifolia,224.89584000000002
2011,Quercus nigra,74.96528
2022,Ostrya virginiana,317.91525800000005
1957,Carya alba,449.79168000000004
1801,Liquidambar styraciflua,149.93056
1627,Pinus taeda,548.8291440000002
1637,Magnolia virginiana,621.0456960000002
804,Juniperus virginiana,299.86112
1638,Pinus taeda,168.50528799999998
2123,Ostrya virginiana,74.96528
1536,Liriodendron tulipifera,80.983326
624,Pinus taeda,387.90367200000054
1889,Pinus taeda,1334.59022
1510,Pinus taeda,3238.8124499999985
894,Pinus palustris,210.63160999999997
82,Quercus nigra,186.038836
64,Quercus virginiana,135.14574
335,Pinus taeda,126.37896599999998
630,Pinus taeda,449.79168000000004
904,Pinus taeda,309.1484840000002
1164,Cornus florida,224.89584000000002
1149,Diospyros virginiana,93.019418
1144,Acer barbatum,230.91388600000002
1884,Quercus marilandica,420.22204000000016
628,Pinus taeda,198.59551799999997
911,Pinus palustris,703.0702020000007
848,Quercus stellata,335.9693960000001
1166,Acer barbatum,198.074928
853,Carya glabra,155.948606
510,Liquidambar styraciflua,273.040208
739,Pinus taeda,311.897212
742,Liquidambar styraciflua,149.93056
698,Quercus stellata,117.091602
709,Pinus elliottii,300.38171000000017
707,Quercus nigra,93.019418
558,Acer rubrum,554.8471900000002
555,Pinus taeda,705.2983400000004
193,Ulmus americana,317.915258
205,Ulmus americana,12.036092
1687,Liquidambar styraciflua,317.91525800000005
1594,Liquidambar styraciflua,899.5833600000001
128,Pinus taeda,605.7402860000001
1077,Pinus taeda,486.42054600000034
407,Quercus alba,155.948606
2010,Acer rubrum,149.93056
1699,Liquidambar styraciflua,536.793052
1714,Pinus taeda,300.90230000000014
1002,Pinus palustris,285.5968900000001
1009,Melia azedarach,144.433104
389,Carpinus caroliniana,74.96528
2111,Fagus grandifolia,105.05551
431,Liquidambar styraciflua,578.9193740000002
2037,Prunus serotina,149.93056
2066,Acer rubrum,80.983326
1472,Pinus taeda,60.18045999999999
1476,Magnolia virginiana,449.79168000000004
1461,Prunus serotina,161.966652
995,Liquidambar styraciflua,530.7750060000001
1214,Quercus falcata,317.9152580000001
1663,Carpinus caroliniana,161.966652
2109,Carpinus caroliniana,267.02216200000004
2122,Pinus taeda,198.59551799999997
1179,Ostrya virginiana,1130.497246
1839,Oxydendrum arboreum,299.86112
144,Liriodendron tulipifera,374.82640000000004
159,Pinus palustris,449.79168000000004
356,Ilex opaca,674.6875200000001
359,Oxydendrum arboreum,299.86112
823,Quercus nigra,224.89584000000002
329,Pinus taeda,339.7593040000003
854,Oxydendrum arboreum,167.984698
828,Pinus taeda,1298.4819439999997
2113,Pinus taeda,385.1549440000005
2108,Pinus taeda,321.70516600000025
1695,Fraxinus pennsylvanica,386.86249200000003
1121,Prunus serotina,105.05551
856,Cornus florida,74.96528
16,Pinus taeda,449.79168000000004
1294,Pinus taeda,228.68574799999996
